"NodeID","Folder"
"astropecten_water_vascular_system","animal-diversity"
"polymorphism_in_cnidaria","animal-diversity"
"protozoa_nutrition_locomotion","animal-diversity"
"protozoa_body_covering_and_skeletal_structure_and_locomotion","animal-diversity"
"protozoa_reproduction_and_parasitism","animal-diversity"
"z_test_problem_solving","biostatistics"
"t_test_significant_difference_between_means","biostatistics"
"presentation_and_graphical_analysis_of_data","biostatistics"
"z_test_z_test_and_its_significance_chi_square_test","biostatistics"
"measures_of_central_tendency","biostatistics"
"measures_of_dispersion","biostatistics"
"chi_square_test","biostatistics"
"correlation_and_regression","biostatistics"
"basic_concepts_of_biostatistics","biostatistics"
"survivorship_curve_life_table_growth_models","biostatistics"
"frequency_distribution_histogram_and_polygon","biostatistics"
"measurements_of_central_tendency","biostatistics"
"measurements_of_central_tendency_problem_solving","biostatistics"
"hypothesis_testing","biostatistics"
"human_body_the_mysterious_workspace","botany"
"structures_functions_of_cell_organelles_part_2","botany"
"structures_functions_cell_organelles_part_1","botany"
"population_ecology_a_science_of_life_motion_of_a_species","ecology"
"population_ecology_concept_on_size_of_population","ecology"
"ecology_history_scopes_area","ecology"
"community_ecology_an_equation_of_living_together","ecology"
"genetics_the_theme_of_inheritance_part_1","genetics"
"genetics_the_theme_of_inheritance_part_2","genetics"
"human_physiology_digestive_system_part_1","physiology"
"human_physiology_digestive_system_part_2","physiology"
"blood_circulation_the_intelligent_transport_system_of_life","physiology"
"human_physiology_digestive_system_part_3","physiology"
"research_methodology","research-methodology"
"human_blood_circulation","zoology"
"baroreceptors_reflex","zoology"
"respiratory_system","zoology"
"hsc_biology_2nd_paper_1st_chapter_animal_diversity_classification","zoology"
"respiratory_system_mind_mapping","zoology"
